tr|A0A016TV92|A0A016TV92_9BILA	tr|A0A016TV92|A0A016TV92_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Ancylostoma ceylanicum OX=53326 GN=Acey_s0077.g1138 PE=3 SV=1
tr|A0A452DT12|A0A452DT12_CAPHI	tr|A0A452DT12|A0A452DT12_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=OR4K2 PE=3 SV=1
tr|A0A452DTZ9|A0A452DTZ9_CAPHI	tr|A0A452DTZ9|A0A452DTZ9_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102187492 PE=3 SV=1
tr|A0A452DUC8|A0A452DUC8_CAPHI	tr|A0A452DUC8|A0A452DUC8_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=OR4E1 PE=3 SV=1
tr|A0A452DUR2|A0A452DUR2_CAPHI	tr|A0A452DUR2|A0A452DUR2_CAPHI G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Capra hircus OX=9925 GN=C3AR1 PE=3 SV=1
tr|A0A452DUR8|A0A452DUR8_CAPHI	tr|A0A452DUR8|A0A452DUR8_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102183310 PE=3 SV=1
tr|A0A452DV78|A0A452DV78_CAPHI	tr|A0A452DV78|A0A452DV78_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102181570 PE=3 SV=1
tr|A0A452DVC5|A0A452DVC5_CAPHI	tr|A0A452DVC5|A0A452DVC5_CAPHI G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Capra hircus OX=9925 GN=MLNR PE=3 SV=1
tr|A0A452DVG9|A0A452DVG9_CAPHI	tr|A0A452DVG9|A0A452DVG9_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102177219 PE=3 SV=1
tr|A0A452DW30|A0A452DW30_CAPHI	tr|A0A452DW30|A0A452DW30_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102187583 PE=3 SV=1
tr|A0A452DW53|A0A452DW53_CAPHI	tr|A0A452DW53|A0A452DW53_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102185355 PE=3 SV=1
tr|A0A452DWN8|A0A452DWN8_CAPHI	tr|A0A452DWN8|A0A452DWN8_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC108636461 PE=3 SV=1
tr|A0A452DWW3|A0A452DWW3_CAPHI	tr|A0A452DWW3|A0A452DWW3_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102180319 PE=3 SV=1
tr|A0A452DX12|A0A452DX12_CAPHI	tr|A0A452DX12|A0A452DX12_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102181115 PE=3 SV=1
tr|A0A452DX26|A0A452DX26_CAPHI	tr|A0A452DX26|A0A452DX26_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102182725 PE=3 SV=1
tr|A0A452DXT4|A0A452DXT4_CAPHI	tr|A0A452DXT4|A0A452DXT4_CAPHI G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Capra hircus OX=9925 GN=LOC102189300 PE=3 SV=1
tr|A0A452DY73|A0A452DY73_CAPHI	tr|A0A452DY73|A0A452DY73_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102184705 PE=3 SV=1
tr|A0A452DYV9|A0A452DYV9_CAPHI	tr|A0A452DYV9|A0A452DYV9_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102186762 PE=3 SV=1
tr|A0A452DZD7|A0A452DZD7_CAPHI	tr|A0A452DZD7|A0A452DZD7_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC108633450 PE=3 SV=1
tr|A0A452E040|A0A452E040_CAPHI	tr|A0A452E040|A0A452E040_CAPHI Olfactory receptor OS=Capra hircus OX=9925 PE=3 SV=1
tr|A0A452E1A9|A0A452E1A9_CAPHI	tr|A0A452E1A9|A0A452E1A9_CAPHI Olfactory receptor OS=Capra hircus OX=9925 PE=3 SV=1
tr|A0A452E2B0|A0A452E2B0_CAPHI	tr|A0A452E2B0|A0A452E2B0_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=OR13C3 PE=3 SV=1
tr|A0A452E3X1|A0A452E3X1_CAPHI	tr|A0A452E3X1|A0A452E3X1_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102177766 PE=3 SV=1
tr|A0A452E4R4|A0A452E4R4_CAPHI	tr|A0A452E4R4|A0A452E4R4_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102177262 PE=3 SV=1
tr|A0A452E4X7|A0A452E4X7_CAPHI	tr|A0A452E4X7|A0A452E4X7_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102173586 PE=3 SV=1
tr|A0A452E544|A0A452E544_CAPHI	tr|A0A452E544|A0A452E544_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102174956 PE=3 SV=1
tr|A0A452E5Z3|A0A452E5Z3_CAPHI	tr|A0A452E5Z3|A0A452E5Z3_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102187740 PE=3 SV=1
tr|A0A452E604|A0A452E604_CAPHI	tr|A0A452E604|A0A452E604_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102186384 PE=3 SV=1
tr|A0A452E6M4|A0A452E6M4_CAPHI	tr|A0A452E6M4|A0A452E6M4_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102191193 PE=3 SV=1
tr|A0A452E7V8|A0A452E7V8_CAPHI	tr|A0A452E7V8|A0A452E7V8_CAPHI G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Capra hircus OX=9925 GN=LOC102179041 PE=3 SV=1
tr|A0A452E8K3|A0A452E8K3_CAPHI	tr|A0A452E8K3|A0A452E8K3_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102171083 PE=3 SV=1
tr|A0A452EBJ9|A0A452EBJ9_CAPHI	tr|A0A452EBJ9|A0A452EBJ9_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102185550 PE=3 SV=1
tr|A0A452ECF6|A0A452ECF6_CAPHI	tr|A0A452ECF6|A0A452ECF6_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102183422 PE=3 SV=1
tr|A0A452ECV0|A0A452ECV0_CAPHI	tr|A0A452ECV0|A0A452ECV0_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102177974 PE=3 SV=1
tr|A0A452EDH5|A0A452EDH5_CAPHI	tr|A0A452EDH5|A0A452EDH5_CAPHI Olfactory receptor OS=Capra hircus OX=9925 PE=3 SV=1
tr|A0A452EDT8|A0A452EDT8_CAPHI	tr|A0A452EDT8|A0A452EDT8_CAPHI G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Capra hircus OX=9925 GN=RXFP4 PE=4 SV=1
tr|A0A452EFI0|A0A452EFI0_CAPHI	tr|A0A452EFI0|A0A452EFI0_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=OR2AP1 PE=3 SV=1
tr|A0A452EFJ6|A0A452EFJ6_CAPHI	tr|A0A452EFJ6|A0A452EFJ6_CAPHI Olfactory receptor OS=Capra hircus OX=9925 PE=3 SV=1
tr|A0A452EFT9|A0A452EFT9_CAPHI	tr|A0A452EFT9|A0A452EFT9_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102183966 PE=3 SV=1
tr|A0A452EG04|A0A452EG04_CAPHI	tr|A0A452EG04|A0A452EG04_CAPHI G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Capra hircus OX=9925 GN=OR10G6 PE=3 SV=1
tr|A0A452EGK5|A0A452EGK5_CAPHI	tr|A0A452EGK5|A0A452EGK5_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=OR6C4 PE=3 SV=1
tr|A0A452EHP4|A0A452EHP4_CAPHI	tr|A0A452EHP4|A0A452EHP4_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102180572 PE=3 SV=1
tr|A0A452EUW7|A0A452EUW7_CAPHI	tr|A0A452EUW7|A0A452EUW7_CAPHI Purinergic receptor P2Y11 OS=Capra hircus OX=9925 GN=P2RY11 PE=3 SV=1
tr|A0A452EW79|A0A452EW79_CAPHI	tr|A0A452EW79|A0A452EW79_CAPHI Olfactory receptor OS=Capra hircus OX=9925 PE=3 SV=1
tr|A0A452F647|A0A452F647_CAPHI	tr|A0A452F647|A0A452F647_CAPHI Olfactory receptor OS=Capra hircus OX=9925 PE=3 SV=1
tr|A0A452FA31|A0A452FA31_CAPHI	tr|A0A452FA31|A0A452FA31_CAPHI Olfactory receptor OS=Capra hircus OX=9925 PE=3 SV=1
tr|A0A452FAD7|A0A452FAD7_CAPHI	tr|A0A452FAD7|A0A452FAD7_CAPHI Olfactory receptor OS=Capra hircus OX=9925 PE=3 SV=1
tr|A0A452FCV7|A0A452FCV7_CAPHI	tr|A0A452FCV7|A0A452FCV7_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102186917 PE=3 SV=1
tr|A0A452FFZ9|A0A452FFZ9_CAPHI	tr|A0A452FFZ9|A0A452FFZ9_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102187045 PE=3 SV=1
tr|A0A452FPQ3|A0A452FPQ3_CAPHI	tr|A0A452FPQ3|A0A452FPQ3_CAPHI Olfactory receptor OS=Capra hircus OX=9925 PE=3 SV=1
tr|A0A452G084|A0A452G084_CAPHI	tr|A0A452G084|A0A452G084_CAPHI Olfactory receptor OS=Capra hircus OX=9925 PE=3 SV=1
tr|A0A452G6J8|A0A452G6J8_CAPHI	tr|A0A452G6J8|A0A452G6J8_CAPHI G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Capra hircus OX=9925 GN=LPAR2 PE=3 SV=1
tr|A0A452G6L0|A0A452G6L0_CAPHI	tr|A0A452G6L0|A0A452G6L0_CAPHI Olfactory receptor OS=Capra hircus OX=9925 PE=3 SV=1
tr|A0A452G6Y1|A0A452G6Y1_CAPHI	tr|A0A452G6Y1|A0A452G6Y1_CAPHI G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Capra hircus OX=9925 GN=F2RL1 PE=4 SV=1
tr|A0A452G786|A0A452G786_CAPHI	tr|A0A452G786|A0A452G786_CAPHI G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Capra hircus OX=9925 GN=F2RL1 PE=4 SV=1
tr|A0A452G7C6|A0A452G7C6_CAPHI	tr|A0A452G7C6|A0A452G7C6_CAPHI G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Capra hircus OX=9925 PE=3 SV=1
tr|A0A452G8I0|A0A452G8I0_CAPHI	tr|A0A452G8I0|A0A452G8I0_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102190953 PE=3 SV=1
tr|A0A452G8I6|A0A452G8I6_CAPHI	tr|A0A452G8I6|A0A452G8I6_CAPHI Olfactory receptor OS=Capra hircus OX=9925 GN=LOC102190953 PE=3 SV=1
tr|A0A452GI40|A0A452GI40_9SAUR	tr|A0A452GI40|A0A452GI40_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452GI98|A0A452GI98_9SAUR	tr|A0A452GI98|A0A452GI98_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452GKA6|A0A452GKA6_9SAUR	tr|A0A452GKA6|A0A452GKA6_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452GML4|A0A452GML4_9SAUR	tr|A0A452GML4|A0A452GML4_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452GMM7|A0A452GMM7_9SAUR	tr|A0A452GMM7|A0A452GMM7_9SAUR Leucine rich repeat containing G protein-coupled receptor 6 OS=Gopherus agassizii OX=38772 GN=LGR6 PE=4 SV=1
tr|A0A452GNF7|A0A452GNF7_9SAUR	tr|A0A452GNF7|A0A452GNF7_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452GPB8|A0A452GPB8_9SAUR	tr|A0A452GPB8|A0A452GPB8_9SAUR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452GPM3|A0A452GPM3_9SAUR	tr|A0A452GPM3|A0A452GPM3_9SAUR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452GV01|A0A452GV01_9SAUR	tr|A0A452GV01|A0A452GV01_9SAUR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gopherus agassizii OX=38772 PE=4 SV=1
tr|A0A452GVI2|A0A452GVI2_9SAUR	tr|A0A452GVI2|A0A452GVI2_9SAUR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452GVP0|A0A452GVP0_9SAUR	tr|A0A452GVP0|A0A452GVP0_9SAUR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452GW68|A0A452GW68_9SAUR	tr|A0A452GW68|A0A452GW68_9SAUR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gopherus agassizii OX=38772 PE=4 SV=1
tr|A0A452GWG7|A0A452GWG7_9SAUR	tr|A0A452GWG7|A0A452GWG7_9SAUR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gopherus agassizii OX=38772 PE=4 SV=1
tr|A0A452GWN9|A0A452GWN9_9SAUR	tr|A0A452GWN9|A0A452GWN9_9SAUR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452H3Q4|A0A452H3Q4_9SAUR	tr|A0A452H3Q4|A0A452H3Q4_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452H476|A0A452H476_9SAUR	tr|A0A452H476|A0A452H476_9SAUR Purinergic receptor P2Y2 OS=Gopherus agassizii OX=38772 GN=P2RY2 PE=3 SV=1
tr|A0A452H4D7|A0A452H4D7_9SAUR	tr|A0A452H4D7|A0A452H4D7_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452H5D8|A0A452H5D8_9SAUR	tr|A0A452H5D8|A0A452H5D8_9SAUR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gopherus agassizii OX=38772 PE=4 SV=1
tr|A0A452H677|A0A452H677_9SAUR	tr|A0A452H677|A0A452H677_9SAUR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gopherus agassizii OX=38772 PE=4 SV=1
tr|A0A452H6I9|A0A452H6I9_9SAUR	tr|A0A452H6I9|A0A452H6I9_9SAUR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gopherus agassizii OX=38772 PE=4 SV=1
tr|A0A452H6L7|A0A452H6L7_9SAUR	tr|A0A452H6L7|A0A452H6L7_9SAUR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gopherus agassizii OX=38772 PE=4 SV=1
tr|A0A452H6X7|A0A452H6X7_9SAUR	tr|A0A452H6X7|A0A452H6X7_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452H8D2|A0A452H8D2_9SAUR	tr|A0A452H8D2|A0A452H8D2_9SAUR G protein-coupled receptor 37 OS=Gopherus agassizii OX=38772 GN=GPR37 PE=4 SV=1
tr|A0A452HDD4|A0A452HDD4_9SAUR	tr|A0A452HDD4|A0A452HDD4_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452HE26|A0A452HE26_9SAUR	tr|A0A452HE26|A0A452HE26_9SAUR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452HGX2|A0A452HGX2_9SAUR	tr|A0A452HGX2|A0A452HGX2_9SAUR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452HLT3|A0A452HLT3_9SAUR	tr|A0A452HLT3|A0A452HLT3_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452HMV3|A0A452HMV3_9SAUR	tr|A0A452HMV3|A0A452HMV3_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452HMX0|A0A452HMX0_9SAUR	tr|A0A452HMX0|A0A452HMX0_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452HRV3|A0A452HRV3_9SAUR	tr|A0A452HRV3|A0A452HRV3_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452HT31|A0A452HT31_9SAUR	tr|A0A452HT31|A0A452HT31_9SAUR Pyrimidinergic receptor P2Y4 OS=Gopherus agassizii OX=38772 GN=P2RY4 PE=3 SV=1
tr|A0A452HY66|A0A452HY66_9SAUR	tr|A0A452HY66|A0A452HY66_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452HYT9|A0A452HYT9_9SAUR	tr|A0A452HYT9|A0A452HYT9_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452I1N0|A0A452I1N0_9SAUR	tr|A0A452I1N0|A0A452I1N0_9SAUR G protein-coupled receptor 34 OS=Gopherus agassizii OX=38772 GN=GPR34 PE=3 SV=1
tr|A0A452I1X5|A0A452I1X5_9SAUR	tr|A0A452I1X5|A0A452I1X5_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452I2L5|A0A452I2L5_9SAUR	tr|A0A452I2L5|A0A452I2L5_9SAUR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gopherus agassizii OX=38772 PE=4 SV=1
tr|A0A452I3M5|A0A452I3M5_9SAUR	tr|A0A452I3M5|A0A452I3M5_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452I484|A0A452I484_9SAUR	tr|A0A452I484|A0A452I484_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452I495|A0A452I495_9SAUR	tr|A0A452I495|A0A452I495_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452I4A2|A0A452I4A2_9SAUR	tr|A0A452I4A2|A0A452I4A2_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452I5I5|A0A452I5I5_9SAUR	tr|A0A452I5I5|A0A452I5I5_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452IAY8|A0A452IAY8_9SAUR	tr|A0A452IAY8|A0A452IAY8_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452ICG4|A0A452ICG4_9SAUR	tr|A0A452ICG4|A0A452ICG4_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452IEY6|A0A452IEY6_9SAUR	tr|A0A452IEY6|A0A452IEY6_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452IIJ0|A0A452IIJ0_9SAUR	tr|A0A452IIJ0|A0A452IIJ0_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452IJC9|A0A452IJC9_9SAUR	tr|A0A452IJC9|A0A452IJC9_9SAUR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gopherus agassizii OX=38772 PE=4 SV=1
tr|A0A452IJG8|A0A452IJG8_9SAUR	tr|A0A452IJG8|A0A452IJG8_9SAUR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452IJV8|A0A452IJV8_9SAUR	tr|A0A452IJV8|A0A452IJV8_9SAUR G protein-coupled receptor 20 OS=Gopherus agassizii OX=38772 GN=GPR20 PE=3 SV=1
tr|A0A452IND0|A0A452IND0_9SAUR	tr|A0A452IND0|A0A452IND0_9SAUR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gopherus agassizii OX=38772 PE=4 SV=1
tr|A0A452IPV2|A0A452IPV2_9SAUR	tr|A0A452IPV2|A0A452IPV2_9SAUR Free fatty acid receptor 4 OS=Gopherus agassizii OX=38772 GN=FFAR4 PE=4 SV=1
tr|A0A452IRQ6|A0A452IRQ6_9SAUR	tr|A0A452IRQ6|A0A452IRQ6_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452IWC6|A0A452IWC6_9SAUR	tr|A0A452IWC6|A0A452IWC6_9SAUR Olfactory receptor OS=Gopherus agassizii OX=38772 GN=OR4E1 PE=3 SV=1
tr|A0A452IWX7|A0A452IWX7_9SAUR	tr|A0A452IWX7|A0A452IWX7_9SAUR Purinergic receptor P2Y14 OS=Gopherus agassizii OX=38772 GN=P2RY14 PE=4 SV=1
tr|A0A452J2K8|A0A452J2K8_9SAUR	tr|A0A452J2K8|A0A452J2K8_9SAUR G protein-coupled receptor 65 OS=Gopherus agassizii OX=38772 GN=GPR65 PE=3 SV=1
tr|A0A452J2L4|A0A452J2L4_9SAUR	tr|A0A452J2L4|A0A452J2L4_9SAUR Uncharacterized protein OS=Gopherus agassizii OX=38772 PE=3 SV=1
tr|A0A452Q7Z9|A0A452Q7Z9_URSAM	tr|A0A452Q7Z9|A0A452Q7Z9_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452Q911|A0A452Q911_URSAM	tr|A0A452Q911|A0A452Q911_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452Q9M5|A0A452Q9M5_URSAM	tr|A0A452Q9M5|A0A452Q9M5_URSAM Lysophosphatidic acid receptor 2 OS=Ursus americanus OX=9643 GN=LPAR2 PE=3 SV=1
tr|A0A452QA12|A0A452QA12_URSAM	tr|A0A452QA12|A0A452QA12_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QB71|A0A452QB71_URSAM	tr|A0A452QB71|A0A452QB71_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QEF9|A0A452QEF9_URSAM	tr|A0A452QEF9|A0A452QEF9_URSAM Olfactory receptor OS=Ursus americanus OX=9643 GN=OR6S1 PE=3 SV=1
tr|A0A452QER7|A0A452QER7_URSAM	tr|A0A452QER7|A0A452QER7_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QEW6|A0A452QEW6_URSAM	tr|A0A452QEW6|A0A452QEW6_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QEW7|A0A452QEW7_URSAM	tr|A0A452QEW7|A0A452QEW7_URSAM G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QF91|A0A452QF91_URSAM	tr|A0A452QF91|A0A452QF91_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QFM1|A0A452QFM1_URSAM	tr|A0A452QFM1|A0A452QFM1_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QHB2|A0A452QHB2_URSAM	tr|A0A452QHB2|A0A452QHB2_URSAM Vasopressin V1b receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QHP0|A0A452QHP0_URSAM	tr|A0A452QHP0|A0A452QHP0_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QIB7|A0A452QIB7_URSAM	tr|A0A452QIB7|A0A452QIB7_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QK87|A0A452QK87_URSAM	tr|A0A452QK87|A0A452QK87_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QK91|A0A452QK91_URSAM	tr|A0A452QK91|A0A452QK91_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QK92|A0A452QK92_URSAM	tr|A0A452QK92|A0A452QK92_URSAM Olfactory receptor OS=Ursus americanus OX=9643 GN=OR4B1 PE=3 SV=1
tr|A0A452QKA1|A0A452QKA1_URSAM	tr|A0A452QKA1|A0A452QKA1_URSAM Olfactory receptor OS=Ursus americanus OX=9643 GN=OR4C5 PE=3 SV=1
tr|A0A452QKA2|A0A452QKA2_URSAM	tr|A0A452QKA2|A0A452QKA2_URSAM Olfactory receptor OS=Ursus americanus OX=9643 GN=OR4X1 PE=3 SV=1
tr|A0A452QKW5|A0A452QKW5_URSAM	tr|A0A452QKW5|A0A452QKW5_URSAM G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QLX0|A0A452QLX0_URSAM	tr|A0A452QLX0|A0A452QLX0_URSAM Platelet activating factor receptor OS=Ursus americanus OX=9643 GN=PTAFR PE=3 SV=1
tr|A0A452QMW1|A0A452QMW1_URSAM	tr|A0A452QMW1|A0A452QMW1_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QN06|A0A452QN06_URSAM	tr|A0A452QN06|A0A452QN06_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QNZ2|A0A452QNZ2_URSAM	tr|A0A452QNZ2|A0A452QNZ2_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QQ32|A0A452QQ32_URSAM	tr|A0A452QQ32|A0A452QQ32_URSAM Oxoeicosanoid receptor 1 OS=Ursus americanus OX=9643 GN=OXER1 PE=3 SV=1
tr|A0A452QXI1|A0A452QXI1_URSAM	tr|A0A452QXI1|A0A452QXI1_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QY22|A0A452QY22_URSAM	tr|A0A452QY22|A0A452QY22_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QYC7|A0A452QYC7_URSAM	tr|A0A452QYC7|A0A452QYC7_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452QYR6|A0A452QYR6_URSAM	tr|A0A452QYR6|A0A452QYR6_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452R1W2|A0A452R1W2_URSAM	tr|A0A452R1W2|A0A452R1W2_URSAM Vasopressin V2 receptor OS=Ursus americanus OX=9643 GN=AVPR2 PE=3 SV=1
tr|A0A452R222|A0A452R222_URSAM	tr|A0A452R222|A0A452R222_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452R2T6|A0A452R2T6_URSAM	tr|A0A452R2T6|A0A452R2T6_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452R705|A0A452R705_URSAM	tr|A0A452R705|A0A452R705_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
tr|A0A452R7Y3|A0A452R7Y3_URSAM	tr|A0A452R7Y3|A0A452R7Y3_URSAM Pyrimidinergic receptor P2Y6 OS=Ursus americanus OX=9643 GN=P2RY6 PE=4 SV=1
tr|A0A452R8S1|A0A452R8S1_URSAM	tr|A0A452R8S1|A0A452R8S1_URSAM Olfactory receptor OS=Ursus americanus OX=9643 PE=3 SV=1
